question,response
What assessment he has made of the effectiveness of the appointment process for the board of the Office for Students.,The appointments to the Board were made through a fair and open competition reflecting the Governance Code on Public appointments and the relevant legislation. The Board members have the broad range of skills and experience needed to lead the Office for Students to deliver better outcomes for students. <p /><p />
To ask the Secretary of State for Business Energy and Industrial Strategy what support the Government is giving to UK companies involved with the Galileo project who already have to deicide where they will locate their supply chains after March 2019.,I refer the hon. Member to the answer I gave her on 16 January 2018 to Question 122184. The principle set out in the Joint Report issued by the UK and EU negotiating teams on 8 December was that UK entities would be able to continue to participate in all EU programmes financed by the current Multiannual Financial Framework which ends in 2020. There will be further discussions on the individual programmes during Phase 2 of the negotiations. My rt hon Friend the Secretary of State and I continue to engage regularly with the UK space sector companies involved in the Galileo programme.
To ask the Secretary of State for Business Energy and Industrial Strategy how many meetings he has had and with which companies on investment uncertainties in respect of the Galileo project after March 2019.,My rt hon Friend the Secretary of State my predecessor (Jo Johnson) as Minister for Space and the UK Space Agency have engaged with many UK space companies and the UK space trade association to discuss issues relating to business and space including the EU Galileo Programme. These views are informing Governments approach to the ongoing EU exit negotiations.
To ask the Secretary of State for Business Energy and Industrial Strategy what advice his Department has given to UK companies involved in the Galileo Project who are already having to decide where they will locate their supply chains after March 2019.,I refer the hon. Member to the answer I gave her on 16 January 2018 to Question 122184. The principle set out in the Joint Report issued by the UK and EU negotiating teams on 8 December was that UK entities would be able to continue to participate in all EU programmes financed by the current Multiannual Financial Framework which ends in 2020. There will be further discussions on the individual programmes during Phase 2 of the negotiations. My rt hon Friend the Secretary of State and I continue to engage regularly with the UK space sector companies involved in the Galileo programme.
To ask the Secretary of State for Business Energy and Industrial Strategy what support the Government is providing to UK companies that have already been excluded from bidding for projects from the European Space Agency on the basis that the UK is leaving the EU.,The European Space Agency (ESA) is independent of the European Union. Therefore our support for the European Space Agency is largely unaffected by the decision to leave the European Union. Indeed we made subscriptions of ‚¬1.4 bn at the ESA Ministerial meeting in Lucerne in December 2016 which is allowing UK companies to bid for ESA grants and contracts.
To ask the Secretary of State for Education how many young people aged (a) 16 (b) 17 and (c) 18 currently participate in tertiary education.,"The departments official estimates of participation in education training and employment for young people academic age 16-18 are published annually. Latest figures were published in June 2017 and relate to a snapshot of young people at the end of the previous calendar year (end 2016). End 2017 figures will be published end June 2018. These official participation estimates are published on GOV.UK: <a href=\https://www.gov.uk/government/statistics/participation-in-education-training-and-employment-2016\"" target=\""_blank\"">https://www.gov.uk/government/statistics/participation-in-education-training-and-employment-2016</a>."""
To ask the Secretary of State for Education pursuant to the Answer of 24 January 2018 to Question 123890 for what reasons that answer stated that the Government classes tertiary education as being post-18 education when the Answer of 19 October 2017 to Question 108669 stated tertiary education as being post-16 education.,The internationally recognised understanding of the term tertiary education in line with the International Standard Classification of Education corresponds to English qualification levels 4 and above which are typically taken by those aged 18 and over. If I may clarify it was the hon. Member's original question (123890) which referred to tertiary education as being post-16 education. The answer to Question 108669 confirmed the governments commitment to all post-16 education.
To ask the Secretary of State for Education pursuant to the Answer of 18 December 2017 to Question HL3865 on Students: Finance what the timetable is for quality checks on the Student Income and Expenditure Survey 2014-15 to be completed.,The report will be published shortly.
To ask the Secretary of State for Education what proportion of young people leaving educational institutions after completing A-Level studies in (a) Barnsley East constituency (b) East Hampshire constituency and (c) England enrolled in university courses in each year since 2010.,"The attached table shows the proportion of students that were at the end of 16‘18 study (taking A level or other level 3 qualifications) in Barnsley East East Hampshire and all of England and progressed to study at a UK Higher Education Institution for at least two terms in a given academic year. Information on destinations in academic years 2010-11 to 2015-16 is given. This is the most recent data available.Information on pupil destinations is published annually on GOV.UK at: <a href=\https://www.gov.uk/government/collections/statistics-destinations\"" target=\""_blank\"">https://www.gov.uk/government/collections/statistics-destinations</a>."""
To ask the Secretary of State for Business Energy and Industrial Strategy how catapult networks will support the delivery of the Industrial Strategy.,The Catapult network exists to transform the UKs capability for innovation in emerging technologies promoting commercialisation and so future economic growth. The network forms a key part of the innovation ecosystem for delivering the Industrial Strategy. We are using the recent review of the network to improve the strategies governance and performance management of the Catapults to maximise their impact.
To ask the Secretary of State for Business Energy and Industrial Strategy how many meetings he had with his Departments Chief Scientific Adviser between October and December 2017.,Between 1<sup>st</sup> October 2017 and 31<sup>st</sup> December 2017 the Chief Scientific Adviser for the Department for Business Energy and Industrial Strategy (BEIS) has met with: (a) my right hon. Friend the Secretary of State for BEIS nine times in person.
To ask the Secretary of State for Education what consideration she gave to appointing a representative of the National Union of Students to the board of the Office of Students; and for what reasons she decided  against doing so.,"Schedule 1 of the Higher Education and Research Act 2017 sets out the criteria for the composition of the Office for Students board. The criteria was extensively debated by Parliament during the Bill “ I refer the hon. Member to the debate at Report Stage: <a href=\http://hansard.parliament.uk/Commons/2016-11-21/debates/3C2C0C73-35CF-4108-B68D-44820B49059B/HigherEducationAndResearchBill\"" target=\""_blank\"">http://hansard.parliament.uk/Commons/2016-11-21/debates/3C2C0C73-35CF-4108-B68D-44820B49059B/HigherEducationAndResearchBill</a>."""
To ask the Secretary of State for Education how many people from (a) Jarrow constituency (b) South Tyneside (c) the North East and (d) England graduated from university in the 2016-17 academic year.,"The Higher Education Statistics Agency (HESA) collects and publishes information on enrolments and qualifications obtained at UK higher education institutions. The latest statistics referring to the 2016/17 academic year were published on 11 January 2018 at the following link: <a href=\https://www.hesa.ac.uk/news/11-01-2018/sfr247-higher-education-student-statistics\"" target=\""_blank\"">https://www.hesa.ac.uk/news/11-01-2018/sfr247-higher-education-student-statistics</a>. The number of qualifiers from higher education courses who were domiciled in Jarrow constituency South Tyneside local authority the North East region and England prior to study in the 2016/17 academic year has been provided in the table below. Higher Education qualifiers<sup>1)2)3)</sup> by place of domicile prior to study<sup>4)</sup>UK Higher Education InstitutionsAcademic year 2016/17<table><tbody>Academic yearJarrow constituencySouth Tyneside local authorityNorth East regionEngland Total2016/17615108020905459425</tbody></table>Source: Department for Education analysis of HESAs Student RecordNotes:1) Figures are based on the HESA qualifications obtained population (<a href=\""https://www.hesa.ac.uk/support/definitions/students\"" target=\""_blank\"">https://www.hesa.ac.uk/support/definitions/students</a>).2) Includes qualifiers from both undergraduate and postgraduate levels of study.3) Figures are rounded to the nearest multiple of five.4) Constituency and local authority is derived from the student's postcode prior to study."""
To ask the Secretary of State for Education whether the Government's proposed review of tertiary education funding is planned to include funding for 16 to 19-year olds.,"I refer the hon. Member to the answer I gave on 24 January 2018 to Question 123890 (123890 - <a href=\http://www.parliament.uk/business/publications/written-questions-answers-statements/written-questions-answers/?page=1&amp;max=20&amp;questiontype=AllQuestions&amp;house=commons%2clords&amp;uin=123890\"" target=\""_blank\"">http://www.parliament.uk/business/publications/written-questions-answers-statements/written-questions-answers/?page=1&amp;max=20&amp;questiontype=AllQuestions&amp;house=commons%2clords&amp;uin=123890</a>)."""
To ask the Secretary of State for Business Energy and Industrial Strategy whether the Government is taking steps to attract the asteroid mining industry to the UK.,The UK Space Agency is supporting the British Space Sector including exciting new commercial ideas such as the robotic assembly and servicing of satellites in space and aligning UK leadership in small satellite manufacture with our ambition to enable commercial small satellite launch from UK spaceports. 
To ask the Secretary of State for Education with reference to Industrial Strategy: building a Britain fit for the future published on 27 November 2017 if he will make it his policy to extend the Government's major review of funding across tertiary education to include the education system for people aged 16 years and over.,The government will conduct a major review of funding across tertiary education. In the Industrial Strategy it was stated that the review will consider a range of specific issues within post-18 education. The government will set out further details on the review shortly.
To ask the Secretary of State for Education how many instances of (a) antisemitism (b) homophobia and (c) islamophobia on university campuses have been reported to his Department in each of the past 12 months.,"The Department for Education does not hold this information however my department and this government takes all forms of hate crime extremely seriously. There is no place in our society “ including within higher education “ for hatred or any form of harassment discrimination or racism. In September 2015 the government asked Universities UK (UUK) to set up a Harassment Taskforce to consider what more can be done to address harassment and hate crime on campus. The taskforces report ˜Changing the Culture published in October 2016 recommended a zero-tolerance approach to harassment and hate crime. On 27 July 2017 UUK published a directory of case studies detailing the innovative projects universities have developed to address the taskforces recommendations. These include Goldsmiths hate crime reporting centre (case study 11) which is a joint initiative with the local authority in Lewisham and the Metropolitan Police which provides students and staff with a safe space to report incidents. These are published on UUKs website: <a href=\http://www.universitiesuk.ac.uk/policy-and-analysis/reports/Pages/changing-the-culture-case-studies.aspx\"" target=\""_blank\"">http://www.universitiesuk.ac.uk/policy-and-analysis/reports/Pages/changing-the-culture-case-studies.aspx</a>. In addition the Higher Education Funding Council for England has provided £1.8 million for projects to improve responses to hate crime and online harassment on campus. The Higher Education Funding Council for England is currently working with UUK to test the sectors response to the taskforces recommendations and the full results will be published in spring 2018."""
To ask the Secretary of State for Education what recent estimate the Government has made of the number of students studying STEM courses at undergraduate level.,"The Higher Education Statistics Agency (HESA) collects and publishes statistics on students studying at UK Higher Education Institutions. The latest statistics refer to the academic year 2016/17 and can be found at the following link: <a href=\https://www.hesa.ac.uk/news/11-01-2018/sfr247-higher-education-student-statistics\"" target=\""_blank\"">https://www.hesa.ac.uk/news/11-01-2018/sfr247-higher-education-student-statistics</a>. In 2016/17 there were 826260 enrolments on undergraduate courses in STEM subjects. Of these 742485 students were studying for a first degree and a further 83775 were studying for another undergraduate qualification. The number of undergraduates in STEM subjects increased by 1.4% between 2015/16 and 2016/17. Notes<ul>Counts are on the basis of full-person-equivalents. Where a student is studying more than one subject they are apportioned between the subjects that make up their course;STEM subjects are defined by HESA as subject groups A to K under the JACS3 classification: <a href=\""https://www.hesa.ac.uk/support/documentation/jacs/jacs3-detailed\"" target=\""_blank\"">https://www.hesa.ac.uk/support/documentation/jacs/jacs3-detailed</a>;Figures rounded to nearest five.</ul>"""
To ask the Secretary of State for Education what assessment his Department has made of trends in the level of reports by university students of sexual assaults taking place on campus; and how many such reports there have been in (a) 2015 (b) 2016 and (c) 2017 to date.,"The department does not hold information regarding the number of reports by university students of sexual assaults taking place on campus. Government takes any form of violence and sexual harassment including in higher education extremely seriously. That is why we asked Universities UK (UUK) to set up a sexual violence and harassment taskforce. The Taskforce published their report ˜Changing the Culture in October 2016: <a href=\http://www.universitiesuk.ac.uk/policy-and-analysis/reports/Documents/2016/changing-the-culture.pdf\"" target=\""_blank\"">http://www.universitiesuk.ac.uk/policy-and-analysis/reports/Documents/2016/changing-the-culture.pdf</a>. Government expects institutions to take a proactive response to sexual harassment and ensuring that students feel confident and able to report any issues. The Taskforce also undertook a review of the ˜Zellick Guidelines on how higher education institutions should handle student misconduct which may constitute a criminal offence and published new guidelines alongside the report: <a href=\""http://www.universitiesuk.ac.uk/policy-and-analysis/reports/Documents/2016/guidance-for-higher-education-institutions.pdf\"" target=\""_blank\"">http://www.universitiesuk.ac.uk/policy-and-analysis/reports/Documents/2016/guidance-for-higher-education-institutions.pdf</a>. The Taskforces report raises that underreporting of harassment incidents can often be an issue and clearly sets out the need for institutions to break down barriers to reporting and ensure that clear accessible and robust reporting mechanisms are in place. As the report makes clear low numbers of disclosures do not necessarily mean that incidents do not occur and this is a factor to consider when making judgments on any changes in levels of disclosure. To support this work the department has asked the Higher Education Funding Council to prioritise working with UUK in 2017-2018 on these important issues including surveying the sectors progress to make sure universities are doing all they can to protect the safety and security of their students. This will be reported on in due course. Meanwhile they have provided over £4 million funding for projects to tackle harassment and hate crime. This includes £2.45 million for projects addressing concerns about sexual violence and harassment."""
To ask the Secretary of State for Education what steps he is taking to ensure that students' views are represented on the board of the Office for Students.,The Office for Students (OfS) central mission is to operate in the interests of student and its statutory duties reflect this. We will expect all members of the Board to engage with students to ensure they understand the issues that they face and have these as considerations when making decisions. However to further strengthen the voice of students on the Board the Higher Education and Research Act made provision for there to be at least one member of the Board with experience of representing or promoting student interests. There is currently an interim student representative on the Board who is also a full member of the Student Panel. The OfSs Student Panel has been set up to advise the board and senior team of the OfS. It has thirteen members and this membership includes current undergraduate and postgraduate students part-time and international students prospective students and recent graduates. They will bring a diverse range of views and perspectives to bear on the work of the OfS.
To ask the Secretary of State for Education what representation of disabled students there will be on the Office for Students' Student Panel.,"The student panel has been appointed by the Office for Students (OfS) and will play an important role in advising the OfS. Membership of the panel includes representatives of students from a wide variety of backgrounds and experiences. The announcement of the panel was made on 7 January and can be found at:<a href=\https://medium.com/@n.dandridge/new-student-panel-appointed-to-advise-office-for-students-press-release-4b77ebb2769c\"" target=\""_blank\"">https://medium.com/@n.dandridge/new-student-panel-appointed-to-advise-office-for-students-press-release-4b77ebb2769c</a>. """
To ask the Secretary of State for Business Energy and Industrial Strategy what estimate he has made of the amount of funding for research has been allocated by the EU to UK institutions in (a) 2014-15 (b) 2015-16 and (c) 2016-17.,"The Department for Business Energy and Industrial Strategy regularly publish statistics on UK participations in Horizon 2020 the main EU programme for research and innovation funding. As part of Horizon 2020 between 2014 and 2017 UK organisations have been allocated ‚¬4.0 billion research funding. Further information can be found at: <a href=\https://www.gov.uk/government/statistics/uks-participation-in-horizon-2020-september-2017\"" target=\""_blank\"">https://www.gov.uk/government/statistics/uks-participation-in-horizon-2020-september-2017</a>. The European Commission publishes data on the 2014-20 European Structural and Investment Funds programmes. Over ‚¬1.6bn has been allocated for research and innovation to the UK. Further information can be found at: <a href=\""https://cohesiondata.ec.europa.eu/countries/UK\"" target=\""_blank\"">https://cohesiondata.ec.europa.eu/countries/UK#</a> ."""
To ask the Secretary of State for Education how many students have graduated with a degree in ICT & Computer Science in each year since 2010.,"The Higher Education Statistics Agency (HESA) collects and publishes statistics on students obtaining qualifications from UK Higher Education Institutions. The latest statistics refer to the academic year 2016/17 and can be found at: <a href=\https://www.hesa.ac.uk/news/11-01-2018/sfr247-higher-education-student-statistics/qualifications\"" target=\""_blank\"">https://www.hesa.ac.uk/news/11-01-2018/sfr247-higher-education-student-statistics/qualifications.</a> The numbers of first degree qualifiers in computer sciences subjects from the academic year 2010/11 onwards are provided in the table below: First degree qualifiers<sup>1</sup> in Computer Sciences subjects<sup>2</sup>UK Higher Education Institutions academic years 2010/11 to 2016/17<table><tbody>Academic yearNumber of qualifiers2010/11145052011/12152252012/13155652013/14160802014/15155952015/16152802016/1716805</tbody></table> Source: HESA Student Record Notes <ol>Counts are on the basis of full-person-equivalents. Where a student is studying more than one subject they are apportioned between the subjects that make up their course.Computer sciences is the most appropriate JACS3 classification for ˜ICT &amp; Computer Science. More information is available here: <a href=\""https://www.hesa.ac.uk/support/documentation/jacs/jacs3-detailed\"" target=\""_blank\"">https://www.hesa.ac.uk/support/documentation/jacs/jacs3-detailed.</a>Figures are rounded to nearest 5 and so the sum of columns may not add to totals.</ol>  In relation to increasing the number of students studying for a degree in ICT and computer science the government is undertaking a range of initiatives to promote digital and computing skills throughout the education system. For example the government is investing £84 million of new funding over the next five years to deliver a comprehensive programme to improve the teaching of the computing curriculum and increase participation in computer science GCSE. The government is also seeking to strengthen the role that higher education providers can play in providing digital and computing skills. This will be through supporting the establishment of a new Institute of Coding to serve as a national focus for improving digital skills provision at levels 6 and 7 with a £20 million fund to improve higher-level digital skills with joint collaborations between universities and businesses and to focus on computer science and digital skills in related disciplines. This will ensure the courses better meet employers needs. Additionally there is funding to support universities to develop conversion courses in engineering and computer science that allow graduates from other subjects to undertake further study and pursue careers in engineering and computer science."""
