ID,chunk,transcript,anger,disgust,fear,joy,sadness,analytical,confident,tentative,openess,conscientiousness,extraversion,agreeableness,emotional_range
794,8,taken from appeal receipt to outcome. This includes both those cleared at hearing and those cleared without the need for a tribunal hearing. <strong>2</strong> Personal Independence Payments (New Claim Appeals),0,0,0.01,0.03,0.01,0,0,0,0.75,0.97,0.88,0.99,0.77
358,1, Savings of <a3>600 million will be made by reducing the Education Services Grant (ESG) including phasing out the additional funding that goes to schools and local authorities. We will,0,0,0.07,0.04,0.02,0,0,0,0.39,0.9,0.63,0.98,0.87
615,4,more affordable. That is why we will be investing an extra <a3>1 billion per annum by 2019-20 to help hardworking families with the cost of childcare. Since 2008 nursery costs,0,0,0.01,0.05,0.04,0,0,0,0.16,0.81,0.53,0.98,0.83
94,1, Children and young people's mental health is a high priority for the department and that is why my Rt Hon friend the Secretary of State appointed me as the,0,0,0.02,0.03,0.12,0,0,0,0.76,0.99,0.98,0.98,0.77
839,1, This question is a matter for Ofsted. Her Majesty's Chief Inspector Sir Michael Wilshaw will write to the hon. Member and a copy of his response will be placed,0.01,0,0.02,0.05,0.04,0,0,0,0.93,0.96,0.4,0.98,0.76
560,3,a perpetrator might be prosecuted. That is why following a public consultation we have recently announced that there will be a new civil stalking protection order to support victims of,0,0,0.01,0.04,0.1,0,0,0,0.95,0.98,0.61,0.98,0.74
616,5,This saves families around <a3>2500 per child per year. Through our Childcare Bill we are making plans to fund and deliver an additional 15 hours of free childcare for the,0.01,0,0.01,0.04,0.01,0,0,0,0.05,0.92,0.49,0.98,0.72
169,1, Good mental health and wellbeing is a key priority for this Department. Young people have told us they would like to have opportunities to support each other and help,0,0,0,0.17,0.02,0,0,0,0.48,0.98,0.8,0.98,0.51
145,6,"of the process.\"",0,0,0,0,0,0,0,0,0.61,0.28,0.53,0.59,0.39146,1, Figures shared with HM Treasury estimated that the 2017/18 pay award for (a) bands three to five prison officers to be <a3>17.8m. This figure also includes the estimated pay""",0,0,0.04,0.02,0.04,0,0,0,0.36,0.92,0.55,0.97,0.93
406,3,this year and will be informed by the emerging findings of the review by Sir Nick Weller.   We will be publishing the terms of reference for Sir Nick,0,0,0,0.05,0.08,0,0,0,0.97,0.97,0.46,0.97,0.87
496,6,a further <a3>2500 a year per child from September 2017. We will be introducing Tax-Free Childcare from early 2017 under which up to 1.8 million working families could benefit by,0,0,0.03,0.08,0.02,0,0,0,0.07,0.86,0.11,0.97,0.78
616,3,committed to supporting hardworking parents with the costs of childcare and to making childcare more affordable. That is why we will be investing an extra <a3>1billion per annum by 2019-20,0,0,0.03,0.04,0.05,0,0.18,0,0.3,0.87,0.81,0.97,0.76
685,10,"prior to conviction who may also have been granted bail on another occasion prior to conviction.</tr><td colspan=\\7\\""> (3) The figures given in the table relate to persons for whom these""",0,0,0.03,0.03,0.02,0,0,0,0.42,0.95,0.35,0.97,0.74
539,2,eligible children will want to take up this generous offer. During our 2015 consultation we conducted an online survey and of nearly 20000 respondents around 89% said they would take,0,0,0.05,0.04,0.08,0,0,0,0.62,0.98,0.26,0.97,0.56
305,3,Autumn Statement. This <a3>70 million will be spent over the next four years to 2020. We have not yet finalised how much will be spent each year or how it,0,0,0.04,0.07,0.07,0,0,0,0.03,0.86,0.19,0.97,0.39
329,5,investing an extra <a3>100m annually to boost the frontline by 2500 prison officers so that every prisoner will have a dedicated officer to support them. Not only will a greater,0.01,0,0.01,0.04,0.03,0,0,0,0.14,0.97,0.51,0.96,0.93
282,12,"an assessment of their needs for support regardless of the level or type of care they provide.\"",0.01,0.01,0.03,0.04,0.09,0,0,0,0.91,0.41,0.33,0.26,0.39283,1, Lord Farmer was commissioned to undertake a review of family engagement and to make proposals that will augment the Prison Safety and Reform agenda. His report will be published""",0,0,0.01,0.04,0.11,0,0,0,0.82,0.99,0.73,0.96,0.87
497,2,and key stakeholders the opportunity to influence and drive what we expect from children's centre services and where we see them collectively having the greatest impact. This consultation will not,0,0,0.01,0.1,0.01,0,0,0,0.54,0.79,0.91,0.96,0.55
555,7,as well as pupils deserve to feel safe and free from bullying.       We have issued statutory guidance for teachers Working Together to Safeguard Children,0.01,0,0.01,0.05,0.04,0,0,0,0.21,0.91,0.34,0.96,0.39
917,11,health services.   <strong> </strong>   <a3>1.25 billion additional funding is also being made available over the next five years to transform children and young people's mental health,0,0,0.03,0.1,0.02,0,0,0,0.05,0.79,0.4,0.96,0.35
953,4,hours. However we intend to make provision so that parents in certain circumstances will be regarded as being in work. This includes in the case of couple families where one,0,0,0.02,0.07,0.04,0,0,0,0.38,0.68,0.42,0.96,0.31
282,10,is also providing funding worth <a3>4.9 million this year through a dedicated mental health strand within our VCS programme which includes supporting children and young people with issues such as,0,0,0.03,0.05,0.04,0,0,0,0.49,0.43,0.72,0.96,0.15
918,4,"to help schools support young people with mental health needs. This can be found here: <a href=\https://www.gov.uk/government/publications/mental-health-and-behaviour-in-schools--2\\ target=\\""_blank\\"">https://www.gov.uk/government/publications/mental-health-and-behaviour-in-schools--2</a>   We have also published a blueprint for school counselling services""",0.01,0,0.11,0.05,0.12,0,0,0,0.1,0.55,0.37,0.96,0.12
726,4,statutory entitlement of prisoners to send and receive letters and sets out that they must have opportunity to make telephone calls </li><li>Prison Service Instruction 16/2011 (Providing Visits and Services to,0,0,0,0.04,0.03,0,0,0,0.55,0.92,0.79,0.95,0.73
953,1, We will publish figures for individual local authorities in due course.   We can confirm that the additional 15 hours will be available to families where both parents,0,0,0.02,0.06,0.04,0,0,0,0.47,0.83,0.36,0.95,0.6
98,2,Secretary of State for Justice met with CRC staff as part of his visit to Camden and Islington probation services in London in July 2017. We continue to work with,0.01,0,0.01,0.04,0.06,0,0,0,0.29,0.92,0.77,0.95,0.59
697,20,"25 sentenced to immediate custody in Wales by police force area from 2010 to 2015 can be viewed in table 2.  <td colspan=\\8\\""> <strong>Male offenders under 25 sentenced to""",0,0,0.03,0.02,0.03,0,0,0,0.24,0.73,0.59,0.95,0.49
250,5,last 12 months and are taking significant action to make sure we have appropriate staffing levels. As the Justice Secretary announced today we will be investing in an additional 2500,0,0,0.01,0.1,0.02,0,0,0,0.73,0.86,0.77,0.95,0.47
298,4,prison extremely seriously and an immediate investigation will be undertaken by NOMS following an escape and lessons learnt passed to all prisons.,0.03,0.01,0.05,0.02,0.15,0,0,0,0.8,0.81,0.22,0.95,0.08
207,1, If the Hon member writes with further details I will look into the case for him.,0.01,0.01,0.03,0.06,0.03,0,0,0,0.98,0.81,0.69,0.94,0.85
337,1, Public protection is our priority and life sentence prisoners may be transferred to open conditions only by a recommendation from the independent Parole Board. Victims who have opted into,0.01,0,0.01,0.02,0.1,0,0,0,0.91,0.99,0.75,0.94,0.84
693,2,"   A response regarding educational psychologists was received for 72 to 74 per cent of local authorities each year.      <td colspan=\5\\>  """,0,0,0.01,0.05,0.04,0,0,0,0.2,0.76,0.52,0.94,0.81
784,2,investigators and administrative staff including interview transcribers family liaison officers and fees for call-off investigators. It also includes travel and incidental expenses.   Year   Total</tr> 2010-11 ,0.01,0,0.01,0.03,0.02,0,0,0,0.56,0.95,0.82,0.94,0.79
291,2,has recently met with Jeremy Hunt the Secretary of State for Health to discuss prison healthcare and collaborative working between the two departments. Phillip Lee Minister for Offender Health at,0,0,0.01,0.04,0.11,0,0,0,0.59,0.78,0.85,0.94,0.67
160,1, Funding for children and young people with special educational needs (SEN) is allocated to local authorities through the dedicated schools grant which includes both funding to be delegated to,0,0,0.02,0.04,0.03,0,0,0,0.57,0.73,0.64,0.94,0.67
161,1, Funding for children and young people with special educational needs (SEN) is allocated to local authorities through the dedicated schools grant which includes both funding to be delegated to,0,0,0.02,0.04,0.03,0,0,0,0.57,0.73,0.64,0.94,0.67
162,1, Funding for children and young people with special educational needs (SEN) is allocated to local authorities through the dedicated schools grant which includes both funding to be delegated to,0,0,0.02,0.04,0.03,0,0,0,0.57,0.73,0.64,0.94,0.67
728,3,in charge</li><li>Raising their concerns with their establishment health and safety advisor</li><li>Requesting that an issue is put on the agenda at their local establishment health and safety committee</li></ul> If concerns remain,0,0,0.01,0.03,0.02,0,0,0,0.59,0.91,0.77,0.94,0.61
205,1, I take our duty to keep both prisoners in our care and our hard-working staff safe extremely seriously. I chair a weekly safer custody meeting with officials to drive,0.04,0,0.05,0.02,0.07,0,0,0,0.31,0.91,0.69,0.94,0.59
160,7,million.</li></ul> We do not hold information on the total funding allocated by Northamptonshire County Council to schools in Corby and East Northamptonshire.,0,0.01,0.04,0.05,0.03,0,0,0,0.04,0.75,0.52,0.94,0.57
845,1, To drive improvements across children and young people's mental health services an additional <a3>1.4bn funding is being made available over the next 5 years to transform children and young,0,0,0.05,0.05,0.02,0,0,0,0.12,0.42,0.53,0.94,0.26
763,1, The Secretary of State for Justice wrote a congratulatory letter to Jeff Sessions Attorney General of the United States on 14 February 2017.,0.02,0,0.04,0.05,0.14,0,0,0,0.74,0.94,0.8,0.93,0.91
296,2,learn lessons for the future. The vast majority of those who escape are quickly re-captured by the police and charged and prosecuted. KPI escapes<sup>1</sup> from establishment by offence between 2011/12,0,0,0.03,0.03,0.04,0.21,0,0,0.79,0.99,0.75,0.93,0.88
